Kingdom,Phylum,Class,Order,Family,Genus,Species,OTU,SciName
Bacteria,Firmicutes,Clostridia,Peptococcales,Peptococcaceae,Peptococcus,UNKNOWN,28026d88093b7c61eb0a6166528927d9,Peptococcus UNKNOWN
Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,UNKNOWN,UNKNOWN,4a10b8412e741e88fd18dd427de5e921,UNKNOWN UNKNOWN
Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group,UNKNOWN,ee2c932ad8129bdbcdd81e24d87b0015,Christensenellaceae_R-7_group UNKNOWN
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,UNKNOWN,44396f15b10f6577d61a11c6047c939f,Methanobrevibacter UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,UNKNOWN,UNKNOWN,a8316e5eb8fc139aee3a91814560638a,UNKNOWN UNKNOWN
Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family_XIII_AD3011_group,UNKNOWN,1330deec01ee25ab66d3ac4752e8ccbc,Family_XIII_AD3011_group UNKNOWN
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium,UNKNOWN,cbc7e1ded30d9a5a5921eb022daf9060,Catenibacterium UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Dorea,UNKNOWN,2e4f2b53b856c4def6d021d01f5abb70,Dorea UNKNOWN
Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,UNKNOWN,bf8174ee3331bbbfaeeb6b46a0d9da5c,Phascolarctobacterium UNKNOWN
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,UNKNOWN,1354d8eddb9222983aca5a2fd2c6c7a5,Brevibacterium UNKNOWN
Bacteria,Cyanobacteria,Cyanobacteriia,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,7911816f5e81f650f769aba0d5c708cb,UNKNOWN UNKNOWN
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium,UNKNOWN,f330e765325ac47997066c79007f76b7,Brachybacterium UNKNOWN
Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Jeotgalicoccus,UNKNOWN,62fbd5d8dc1cd29df060b8b6c46e1352,Jeotgalicoccus UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,Eubacterium_sp.,0e226d197c2f253bcee5f15026512f90,Lachnoclostridium Eubacterium_sp.
Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,UNKNOWN,4ad8db20b074326a0cf62c3f373ebd63,Corynebacterium UNKNOWN
Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Megamonas,Megamonas_hypermegale,403bbbd13d23294642e0a5967c6dbf90,Megamonas Megamonas_hypermegale
Bacteria,Firmicutes,Bacilli,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,369273fb9626ae1bbab9e040792c6322,UNKNOWN UNKNOWN
Bacteria,Cyanobacteria,Cyanobacteriia,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0a3cf58d4ca062c13d42c9db4ebcbc53,UNKNOWN UNKNOWN
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_aviarius,bd569194c3d7c9dc1817718bf17a19b2,Lactobacillus Lactobacillus_aviarius
Bacteria,Firmicutes,Bacilli,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,e34bae2ab1f4c6c95ef0229dd5bc6ae9,UNKNOWN UNKNOWN
Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,UNKNOWN,e335f74033bc634af43ee6baa84fa247,Romboutsia UNKNOWN
Bacteria,Firmicutes,Bacilli,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1412ee472da766d401a9f20f85148548,UNKNOWN UNKNOWN
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,UNKNOWN,8472a38a835527bbe16679f89f9e0bc8,Fusobacterium UNKNOWN
Bacteria,Firmicutes,Clostridia,Clostridia_UCG-014,Clostridia_UCG-014,Clostridia_UCG-014,UNKNOWN,392c354d89068178635d7d2dd44a535e,Clostridia_UCG-014 UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Ruminococcus]_torques_group,UNKNOWN,8319d3eac517cdc6eac67429141a4179,[Ruminococcus]_torques_group UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,UNKNOWN,UNKNOWN,2061982bdacabc5b14fa991850a1bda4,UNKNOWN UNKNOWN
Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,UNKNOWN,970dd45e40cf8b847e2575fc1cb5a3eb,Weissella UNKNOWN
Bacteria,Cyanobacteria,Vampirivibrionia,Gastranaerophilales,Gastranaerophilales,Gastranaerophilales,Acinetobacter_sp.,b6b86531ef8d5b24a2b1f0d0cbb40c76,Gastranaerophilales Acinetobacter_sp.
Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Subdoligranulum,UNKNOWN,4c4762e3ff3387313d4f596dd8152358,Subdoligranulum UNKNOWN
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,UNKNOWN,9580aa8a52ec18a4e92e701cdb595faa,Clostridium_sensu_stricto_1 UNKNOWN
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium_mortiferum,4b7712254e4dd8d5bc585d4a6c5c2e88,Fusobacterium Fusobacterium_mortiferum
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,UNKNOWN,2c982937754e6321f861027032db80f7,Bacteroides UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Tyzzerella,Anaerotignum_lactatifermentans,66063c3a2e5cc0fd8b0b301cdbb7c0ce,Tyzzerella Anaerotignum_lactatifermentans
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,UNKNOWN,UNKNOWN,33ddca6781100b91d670de9a543e5aa7,UNKNOWN UNKNOWN
Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,UNKNOWN,4102c0c9284b080a36ae312a7b497915,Desulfovibrio UNKNOWN
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_NK3B31_group,UNKNOWN,edbcb65029d740fc540a26bc211220c6,Prevotellaceae_NK3B31_group UNKNOWN
Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UNKNOWN,UNKNOWN,e657205bc51c1db7e6a38c33a084749d,UNKNOWN UNKNOWN
Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,UNKNOWN,65641452be75528754b5ae258ba661c1,Aerococcus UNKNOWN
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,UNKNOWN,da6a7cba87e0895b9cbe6037b9bd8b3b,Prevotella UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,UNKNOWN,UNKNOWN,47b098c7edc1e61aef6d211df51b8d96,UNKNOWN UNKNOWN
Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Fournierella,UNKNOWN,cb908ae7d11351c78c0e4ce0d849c744,Fournierella UNKNOWN
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,UNKNOWN,7e5a99f93e144e352fbbcf9be34f6cd0,Lactobacillus UNKNOWN
Bacteria,Firmicutes,Clostridia,Clostridia_UCG-014,Clostridia_UCG-014,Clostridia_UCG-014,UNKNOWN,c931df285c2e86cf166b513d458bb187,Clostridia_UCG-014 UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,UNKNOWN,UNKNOWN,c687a8d04aad1fff0bc7258d20d50db7,UNKNOWN UNKNOWN
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes_inops,5e50a007ea9a7f83275157c158916fcc,Alistipes Alistipes_inops
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerosporobacter,Caecibacterium_sporoformans,5d9970f7ec198cd87967293e0fa90644,Anaerosporobacter Caecibacterium_sporoformans
